"발생일","발생시간","요일","발생지_시군구","사고내용","법정동","사망자수","중상자수","경상자수","부상신고자수","사고유형_대분류","사고유형_중분류","사고유형","가해자법규위반","노면상태_대분류","노면상태","기상상태","도로형태_대분류","도로형태","가해자차종","가해자연령","가해자성별","가해자신체상해정도","피해자차종","피해자연령","피해자성별","피해자신체상해정도","경도","위도"
"2012-11-26","08","월","성북구","사망","길음동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","젖음/습기","흐림","단일로","횡단보도부근","승합차","51-60세","남","상해없음","보행자","31-40세","여","사망","127.02404176","37.60345074"
"2012-11-27","20","화","송파구","사망","거여동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","61-70세","남","상해없음","보행자","41-50세","남","사망","127.14311346","37.49353606"
"2012-11-28","04","수","종로구","사망","서린동","1","0","1","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","41-50세","남","상해없음","보행자","61-64세","여","사망","126.98024858","37.57017767"
"2012-11-28","09","수","강서구","사망","화곡동","1","0","0","0","차대사람","보도통행중","보도통행중","보행자 보호의무 위반","포장","건조","맑음","단일로","횡단보도상","화물차","21-30세","남","상해없음","보행자","61-64세","남","사망","126.85145186","37.55299171"
"2012-11-28","20","수","노원구","사망","월계동","1","0","0","0","차대사람","횡단중","횡단중","신호위반","포장","건조","맑음","교차로","교차로내","승합차","41-50세","남","상해없음","보행자","65세이상","여","사망","127.05508985","37.62898070"
"2012-11-29","09","금","동대문구","사망","이문동","1","0","0","0","차대차","기타","기타","안전운전 의무 불이행","포장","건조","맑음","교차로","교차로내","자전거","61-70세","남","사망","승용차","61-64세","남","상해없음","127.06792057","37.59732816"
"2012-11-29","21","목","서대문구","사망","북가좌동","2","0","2","0","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","포장","건조","맑음","교차로","교차로내","승용차","21-30세","남","사망","승용차","61-64세","여","상해없음","126.90801650","37.57260468"
"2012-11-30","19","금","구로구","사망","궁동","1","0","0","0","차대차","기타","기타","안전운전 의무 불이행","포장","젖음/습기","흐림","교차로","교차로내","승용차","51-60세","남","사망","승용차","31-40세","남","기타불명","126.82854804","37.49879190"
"2012-12-01","05","토","강남구","사망","대치동","1","2","1","0","차대차","기타","기타","안전거리 미확보","포장","건조","맑음","단일로","기타단일로","승용차","21-30세","남","경상","화물차","41-50세","남","중상","127.06924181","37.50362840"
"2012-12-01","14","토","강북구","사망","미아동","1","0","0","0","차대차","측면충돌","측면충돌","신호위반","포장","건조","흐림","교차로","교차로내","승용차","51-60세","남","상해없음","이륜차","65세이상","남","사망","127.03766704","37.61317631"
"2012-12-05","21","수","서대문구","사망","봉원동","1","0","0","0","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","포장","적설","눈","단일로","기타단일로","승용차","31-40세","남","사망","없음","불명","없음","없음","126.94887989","37.56881858"
"2012-12-07","10","금","강서구","사망","화곡동","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","적설","맑음","교차로","교차로내","화물차","61-70세","남","상해없음","보행자","65세이상","여","사망","126.83612363","37.53375296"
"2012-12-09","13","일","양천구","사망","신정동","1","0","0","0","차대차","측면충돌","측면충돌","신호위반","포장","건조","맑음","교차로","교차로내","원동기장치자전거","21-30세","남","사망","승용차","41-50세","남","상해없음","126.86430423","37.50867025"
"2012-12-10","15","월","중랑구","사망","면목동","1","0","0","0","차대사람","횡단중","횡단중","보행자 보호의무 위반","포장","기타","맑음","단일로","기타단일로","승합차","51-60세","남","상해없음","보행자","65세이상","여","사망","127.08744644","37.57955136"
"2012-12-11","00","화","은평구","사망","수색동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승합차","61-70세","남","상해없음","보행자","51-60세","남","사망","126.89660898","37.58151528"
"2012-12-12","07","수","종로구","사망","종로6가","1","0","0","0","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","31-40세","남","상해없음","화물차","65세이상","남","사망","127.00707959","37.57121213"
"2012-12-12","10","수","양천구","사망","신월동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","화물차","41-50세","남","상해없음","보행자","65세이상","여","사망","126.83157261","37.53640428"
"2012-12-12","14","수","마포구","사망","서교동","1","0","0","0","차대차","측면충돌","측면충돌","신호위반","포장","건조","맑음","교차로","교차로내","자전거","61-70세","남","사망","승용차","41-50세","남","상해없음","126.91366134","37.55458793"
"2012-12-13","00","목","마포구","사망","상암동","1","0","1","0","차대사람","기타","기타","안전운전 의무 불이행","포장","건조","맑음","단일로","교량위","승용차","41-50세","남","상해없음","보행자","31-40세","남","사망","126.86892580","37.57788233"
"2012-12-13","23","목","강남구","사망","논현동","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승합차","51-60세","남","상해없음","보행자","65세이상","남","사망","127.01993271","37.51468724"
"2012-12-14","00","금","금천구","사망","시흥동","1","0","0","0","차대사람","보도통행중","보도통행중","안전운전 의무 불이행","포장","건조","맑음","단일로","횡단보도상","승용차","51-60세","남","상해없음","보행자","41-50세","남","사망","126.89947300","37.45743191"
"2012-12-14","10","금","양천구","사망","목동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","젖음/습기","비","단일로","기타단일로","승합차","41-50세","남","상해없음","보행자","41-50세","남","사망","126.86390036","37.54025132"
"2012-12-14","15","금","강서구","사망","공항동","1","0","0","0","차량단독","주/정차차량 충돌","주/정차차량 충돌","안전운전 의무 불이행","포장","젖음/습기","비","단일로","기타단일로","승용차","61-70세","남","사망","승용차","불명","기타불명","기타불명","126.80947254","37.56280361"
"2012-12-14","16","금","동대문구","사망","용두동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","젖음/습기","비","단일로","횡단보도상","승용차","41-50세","남","상해없음","보행자","51-60세","남","사망","127.03061818","37.57550834"
"2012-12-14","20","금","양천구","사망","신정동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","젖음/습기","비","단일로","횡단보도상","승용차","51-60세","남","상해없음","보행자","65세이상","여","사망","126.85377981","37.51806829"
"2012-12-16","00","일","영등포구","사망","영등포동7가","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","교차로","교차로부근","승용차","21-30세","남","상해없음","보행자","31-40세","남","사망","126.90535675","37.52539681"
"2012-12-16","07","일","금천구","사망","독산동","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","건조","맑음","교차로","교차로부근","승용차","71세이상","남","상해없음","보행자","51-60세","남","사망","126.90325460","37.47244067"
"2012-12-19","17","수","서초구","사망","방배동","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승합차","61-70세","남","상해없음","보행자","65세이상","여","사망","126.98267143","37.49487133"
"2012-12-21","12","금","금천구","사망","시흥동","1","1","0","0","차대사람","횡단중","횡단중","신호위반","포장","젖음/습기","눈","단일로","횡단보도상","화물차","41-50세","남","상해없음","보행자","41-50세","여","사망","126.90341843","37.44043418"
"2012-12-22","07","토","도봉구","사망","방학동","1","0","0","0","차대사람","차도통행중","차도통행중","안전운전 의무 불이행","포장","젖음/습기","흐림","단일로","기타단일로","승용차","51-60세","남","상해없음","보행자","65세이상","여","사망","127.04037572","37.66274246"
"2012-12-22","09","토","관악구","사망","봉천동","1","1","2","0","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","포장","건조","맑음","교차로","교차로부근","승용차","21-30세","남","사망","승용차","21-30세","남","중상","126.93560704","37.48639041"
"2012-12-23","02","일","구로구","사망","가리봉동","1","1","0","0","차대사람","횡단중","횡단중","기타","포장","건조","맑음","교차로","교차로부근","승용차","31-40세","남","상해없음","보행자","41-50세","남","사망","126.88996547","37.47950254"
"2012-12-25","17","화","노원구","사망","중계동","1","0","0","0","차대차","기타","기타","안전거리 미확보","포장","서리/결빙","맑음","단일로","기타단일로","승용차","51-60세","남","상해없음","화물차","31-40세","남","상해없음","127.07560179","37.66097265"
"2012-12-26","05","수","용산구","사망","한남동","1","0","0","0","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","51-60세","남","사망","없음","불명","없음","없음","127.00356710","37.54079489"
"2012-12-26","11","수","영등포구","사망","영등포동7가","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","건조","맑음","교차로","교차로부근","승용차","31-40세","남","상해없음","보행자","65세이상","여","사망","126.90405107","37.52877029"
