"","comic.name","comic.summary","comic.grade"
"376","외계에서 온 지구인","외계에서 온 지구인","9.83"
"377","부서진 평시","연쇄살인의 내막","9.72"
"378","매지컬팡","명랑만화 매지컬팡","9.85"
"379","여우말고 알바생?!","연지와 불청객","9.74"
"380","디나운스","패션, 드라마","9.75"
"381","저승파견고용직","기묘한 러브액션로망","9.90"
"382","시간과 사연","사남매 이야기","9.80"
"383","너는 나의 나는 너의 수호천사","로맨스판타지","9.88"
"384","충견","괴물과 싸우는 괴물","9.15"
"385","흑묘","검은 고양이 사냥꾼","9.71"
"386","나의 별에게","감성로맨스","9.88"
"387","더 리턴","왜 우린 달라?","9.68"
"388","인형의 꿈","작은 소망이야기.","9.82"
"389","이런 소설 같은 사랑!","안사랑? 유사랑!","9.78"
"390","누들트럭","스트릿푸드 생존기","9.30"
"391","로그 아일","판타지 생존기","9.74"
"392","나는 엄마다","괴물엄마와 인간 딸","9.80"
"393","드림걸즈","그녀들의 농구이야기","8.61"
"394","까만 동화 : 인형의 집","잔혹동화","9.87"
"395","너의 뒤에서","사랑따위...","9.65"
"396","하얀 하늘 꽃구름","비밀스러운 동아리","9.89"
"397","분신사가","분신들과의 동거!","8.76"
"398","액터즈 나이트","약자들의 생존전략","8.90"
"399","어둠의 창 번외편-토아 이야기","토아의 성장기","9.56"
"400","77년생, 열아홉","멈춘 시간","9.48"
"401","안녕,호두","소소한 일상툰!","9.88"
"402","발버둥치다","우울증 이야기","9.89"
"403","가위바위보","지면 죽는다.","9.62"
"404","피카부!","요괴 학원물","9.36"
"405","곰의 딸","소녀의 모험","9.52"
"406","직장인 다이어리","40대 가장의 일상","9.36"
"407","좋아하는거 참으면 병나요!","좋아하는건 못참아","9.73"
"408","없는자들","없어진 부x을 찾아","9.53"
"409","아라군주","범고래 판타지 액션","9.59"
"410","크림슨 크로스","희망의 가치.","9.78"
"411","아스테리스크","용과 소년소녀","9.89"
"412","채팅게임","극복과. 성장","8.41"
"413","질주","초능력 판타지","9.80"
"414","송양 게스트하우스","송양","9.77"
"415","금잔화가 피는 여름","동양 판타지","9.14"
"416","순임이","엄마의 엄마 이야기","9.89"
"417","호랑이비","너도 나와 같길","9.44"
"418","라텔론","멜로 액션 판타지","9.11"
"419","디플로마티코","스페이스 오페라","9.75"
"420","겨울이 사라진 계절","겨울 없는 세상에서","8.27"
"421","물고기로 살아남기!","신개념 게임 판타지","9.61"
"422","주파수","힐링 로맨스 판타지","9.39"
"423","시크릿가족","성교육웹툰","9.87"
"424","소소한 일상기록툰","소소한 일상의 기록","9.92"
"425","중딩툰","중딩이 그렸던 웹툰","9.50"
"426","LADS'PARTY","판타지 액션","9.58"
"427","휴지통","잔부스러기같은 행복","9.88"
"428","마녀의 키스","마녀와 소년 이야기","9.46"
"429","올어바웃 You","귀염뽀짝 국제육아툰","9.86"
"430","내 매력에 퐁당","내 매력에 퐁당!","9.57"
"431","전설의 미친 전교1등","입시비리vs전교1등","9.60"
"432","재워주는 사이","재워드릴테니재워줘요","9.69"
"433","마지막 소원을 이뤄주는 사무소","마지막을 아름답게","9.68"
"434","사예의 식이장애 일지","식이장애 이야기","9.76"
"435","제네틱 아이러니","성별이 바뀐다고?","8.38"
"436","마롱의 마카롱","디저트 먹는 만화","9.86"
"437","고양이식당","요리천재 고양이","9.75"
"438","일월의 선화","동양풍 성장 판타지","9.82"
"439","우리반 여신","행운의여신우리학교에","9.65"
"440","마이웨이수호신","로코+환생판타지","9.17"
"441","플래닛자이언","월드와이드 SF극화","9.37"
"442","하트샷","징크스 극복기","9.57"
"443","소도시에 삽니다","지방 소도시의 일상","9.93"
"444","리사이클 : 클래식 코드","모든건 계산 아래.","8.81"
"445","결혼 후, 보통의 삶","묘한 중독 짱매의 매일매일","9.90"
"446","다시, 닻별","엉뚱발랄 일상이야기","5.76"
"447","미신","사이비 호러스릴러","9.66"
"448","우리집엔 호랑이가 산다","호랑이굴에서살아남기","9.92"
"449","주말엔 보랏빛 향기","성장 로맨스","9.72"
"450","작은 집에 사는 커다란 개","강아지와 사람 얘기","9.92"
"451","광해와 이순신","전쟁을 이긴 영웅들","9.59"
"452","소울","코믹액션 더하기 환타지","8.93"
"453","앙(怏)","일진생활 청산","9.28"
"454","매일의 선물","다정한 선물 가게","9.86"
"455","더 익스트림","TheExtreme","9.34"
"456","안녕, 앨리스","로맨스 판타지","9.83"
"457","다음 생도 신이 되겠습니다.","신이 되려는 소녀","9.27"
"458","개판오분전","이판사판","9.66"
"459","궤짝","어두운본성을마주하다","9.76"
"460","프라이머리 컬러","게임회사 입사꿀팁!","9.78"
"461","헬로,로시!","판타지 모험 이야기","9.71"
"462","가상&RPG","가상현실 액션RPG","9.88"
"463","에이전트","대한민국비밀특수요원","9.68"
"464","주작작 주주작","영짐승 배틀물","9.67"
"465","단편만화","단편 이야기","9.27"
"466","이데아 프로젝트","능력자 판타지","9.83"
"467","에고 인 휴고","지킬 박사의 후손","9.80"
"468","현피뜨던사이","평강이의 온달찾기","9.53"
"469","치즈범벅","치즈고양이형제 일상","9.84"
"470","신들의 극장","역사,철학속 로맨스","9.85"
"471","느린한끼","요리 만화","9.88"
"472","미스터 신데렐라","신데렐라가 남자라면","9.78"
"473","천상열차분야지도","옥황상제와 별자리","9.87"
"474","써니서프 - 혜진 이야기","서핑 힐링 드라마","9.67"
"475","러브 유어 시스터","사랑스럽고수상한남자","9.82"
"476","환생 세탁소","환생원에 어서오세요","9.77"
"477","당신의 쓸모","우리는 식물성이야!","9.51"
"478","절교여행","절교여행 버라이어티","9.82"
"479","범고래아가씨","달달한 연애일상","9.68"
"480","사장님은 떡뽀끼!","분식집 일상물","9.65"
"481","사랑하는 계절","자유연재","9.73"
"482","백작가의 상인","백작가의 상인","8.60"
"483","공작일보 工作日<U+62A5>","보주장의중국이야기","9.38"
"484","오 사장님은 상사병","오사장의상사병고치기","9.71"
"485","성녀가 아니라 마녀였습니다!","로맨스 판타지","9.74"
"486","그대로 멈춰라","시간이 멈춘 세계!","9.68"
"487","이불 밖 달리기","저질체력인생과 운동","9.91"
"488","오사와 오폐수들","오레오사냥꾼의 일상","9.92"
"489","위시(WISH)","뱀파이어소녀와아저씨","9.69"
"490","커다랗게 울었다.","대학가 스릴러","9.28"
"491","고량","범 내려온다","9.89"
"492","단편들","단편만화","9.90"
"493","장르 섞인 만화","개그랑 로맨스 섞임","9.75"
"494","내 몸을 잘 부탁해!","세대공감 판타지","9.57"
"495","나만 모르는 연애","'연애'가 뭔데?","8.34"
"496","클로저","불운은 이제 그만!","8.84"
"497","별종위기종","멸종위기급 별종들","9.77"
